Pfn1	NM_011072
Ipo5	NM_001360602
Ide	NM_031156
Ik	NM_011879
Alkbh5	NM_172943
Psmb2	NM_011970
Pdp1	NM_001033453
Ap4s1	NM_001329698
Lynx1	NM_011838
Wdr26	NM_001403581
H1f0	NM_008197
Strap	NM_011499
Atad1	NM_026487
Cxcl14	NM_019568
Arpc2	NM_001357387
Lars2	NM_001348167
Acox1	NM_001271898
Tmem70	NM_026392
Angptl7	NM_001039554
Bod1	NM_001024919
Exoc6	NM_175353
Nrd1	NM_001346554
Aldh6a1	NM_001313967
Trim35	NM_029979
Rfk	NM_019437
Actr1b	NM_146107
Chmp2a	NM_001360730
Cyb5b	NM_025558
Mrpl16	NM_025606
Sspn	NM_001310837
Eif3h	NM_080635
Hspd1	NM_001356512
Uba1	NM_001136085
Serpinf1	NM_011340
Mrps23	NM_001291270
Sf3b2	NM_001362454
Glud1	NM_008133
Stat5b	NM_001113563
Ubac1	NM_001362681
Mospd1	NM_001290514
Prkaca	NM_001277898
Srpr	NM_026130
Fez2	NM_001285940
Tead1	NM_001166584
Ak3	NM_001365071
Cib2	NM_019686
Dynll2	NM_001168471
Dnajb5	NM_001355438
Mknk2	NM_021462
C2cd2	NM_174847
Emc6	NM_001168470
Rps26	NM_013765
Trak1	NM_001357968
Btf3	NM_001170540
Rab6a	NM_001163663
Pnpla2	NM_001163689
Lrrc20	NM_153542
Oaz2	NM_001301307
Arl3	NM_001355233
Eif1	NM_011508
Tmbim6	NM_001171034
Fam210a	NM_153794
Dazap2	NM_011873
Cdk16	NM_001310456
Trip10	NM_001242389
Epn1	NM_001252454
Pcbp1	NM_011865
Me1	NM_001198933
Qser1	NM_001123327
Bckdk	NM_009739
Atp1b2	NM_013415
Snx3	NM_017472
Myoz3	NM_133363
Ky	NM_024291
Asb14	NM_001170748
Taco1	NM_027346
Rab1b	NM_029576
Rps21	NM_001355516
Otud6b	NM_001416021
Gas6	NM_019521
Fitm2	NM_173397
Foxo4	NM_018789
Cycs	NM_007808
Mllt11	NM_001411090
Vezf1	NM_001402868
Lonp1	NM_028782
Lgalsl	NM_173752
Synpo2l	NM_001310431
Ip6k3	NM_173027
Ipo13	NM_146152
Padi2	NM_008812
Hoxc10	NM_010462
Tmem59	NM_029565
Stt3b	NM_024222
Fxr2	NM_011814
Tor1aip1	NM_001160018
Twf2	NM_011876
Glo1	NM_001113560
Cdh5	NM_009868
Ndufs3	NM_026688
Hcfc1r1	NM_001414380
Acacb	NM_001403527
Surf4	NM_011512
Maf1	NM_001164607
Mid1ip1	NM_001166635
Kat2b	NM_001190846
Klhl33	NM_001166651
Nfix	NM_001081981
Gstm1	NM_001374678
Smpdl3a	NM_020561
Tmem147	NM_027215
Ndufaf1	NM_001356467
Mtfp1	NM_026443
Scp2	NM_011327
Ppp1r14c	NM_133485
Klhl21	NM_001033352
Rbm38	NM_019547
R3hdm2	NM_001168292
Gaa	NM_001159324
Eif3b	NM_133916
Dym	NM_001403761
Clcn1	NM_001363712
Timp2	NM_011594
Nek9	NM_145138
Gid4	NM_025757
Rps14	NM_020600
Esrra	NM_001413228
Nfic	NM_008688
Srsf5	NM_001079694
Actr1a	NM_001365070
Rps27l	NM_001311101
Cluh	NM_001081158
Eepd1	NM_026189
St3gal5	NM_001035228
Tmem14c	NM_001360770
Ube3b	NM_001331219
Zdhhc5	NM_144887
Mapk14	NM_001168508
Myl9	NM_172118
Amd1	NM_009665
Rps3a1	NM_016959
Klhdc3	NM_001163729
Ube2m	NM_001168469
Epm2a	NM_010146
Rnf187	NM_022423
Speg	NM_001085370
Ppp1r2	NM_025800
Rabac1	NM_010261
Pebp1	NM_018858
Rab18	NM_001278447
Mreg	NM_001005423
Rapgef1	NM_001039086
Mef2d	NM_001310587
Ldhb	NM_001302765
Fastk	NM_023229
Acta2	NM_007392
Cenpb	NM_007682
Hif1an	NM_176958
Ubqln4	NM_001411427
Tmem52	NM_001253856
Szrd1	NM_001025608
Neurl1a	NM_001163480
Tprgl	NM_026388
Bnip2	NM_001008238
Chp1	NM_019769
Kcnc4	NM_001356447
Fzd4	NM_008055
Ccnk	NM_009832
Eif3f	NM_025344
Rxra	NM_001290481
Ankrd9	NM_001361916
Naca	NM_001113199
Fmod	NM_021355
Cpt2	NM_009949
Zfand3	NM_001356265
Grina	NM_023168
Rhob	NM_007483
Coa3	NM_026618
Cnih1	NM_001355011
Ifitm3	NM_025378
Larp1	NM_028451
Rab5b	NM_011229
Srp68	NM_146032
Kcnj11	NM_001204411
Cyp27a1	NM_024264
Mbd3	NM_001306143
Mrpl34	NM_053162
Myh8	NM_177369
Coro6	NM_001368670
Ctdnep1	NM_026017
Cd74	NM_001042605
Cacng6	NM_133183
Ctdsp1	NM_153088
Gpx3	NM_001083929
Pabpc4	NM_001356377
Arl1	NM_025859
Banf1	NM_001038231
Dennd4b	NM_001356483
Cuta	NM_026307
Rps4x	NM_009094
Arrdc2	NM_027560
Oaz1	NM_001301034
Ctdsp2	NM_001113470
Tmed2	NM_001403253
Tma7	NM_183250
Cystm1	NM_001081365
Lbx1	NM_010691
Gapdh	NM_001289726
Chac1	NM_026929
Tpt1	NM_009429
Rps2	NM_008503
Ddit4	NM_029083
Gpx4	NM_001037741
Mpc1	NM_001364918
Cisd3	NM_001085500
Eif4ebp2	NM_010124
Gng5	NM_010318
Hbb-bs	NM_001201391
Anp32b	NM_130889
Rps29	NM_009093
Ndufs5	NM_001030274
Sumo2	NM_133354
